site_id,lon,lat
0,-123.17896,51.02627
1,-122.09893,51.02627
2,-122.06942,51.02627
3,-121.94253,51.02627
4,-121.93663,51.02627
5,-121.92777,51.02627
6,-121.91597,51.02627
7,-121.88941,51.02627
8,-121.79498,51.02627
9,-121.78613,51.02627
10,-121.77728,51.02627
11,-121.69465,51.02627
12,-121.73892,51.02332
13,-121.71826,51.02037
14,-122.97240,51.01447
15,-122.98125,51.01152
16,-121.77138,51.01152
17,-121.79498,50.99086
18,-121.69465,50.99086
19,-122.85731,50.98791
20,-121.69465,50.97906
21,-121.69465,50.97611
22,-121.79203,50.97315
23,-122.77174,50.95250
24,-122.77764,50.94365
25,-122.78649,50.92889
26,-122.58878,50.92594
27,-122.78059,50.91709
28,-122.57993,50.91414
29,-122.75403,50.91119
30,-122.75108,50.90823
31,-122.73633,50.90823
32,-121.81269,50.90823
33,-121.78318,50.89938
34,-122.77469,50.89643
35,-121.79498,50.89643
36,-124.78721,50.89348
37,-122.77469,50.89348
38,-122.22877,50.89348
39,-121.83334,50.89053
40,-122.85141,50.88758
41,-121.82744,50.88463
42,-122.20221,50.88168
43,-122.19041,50.88168
44,-121.82449,50.88168
45,-122.18155,50.87873
46,-121.88646,50.87873
47,-121.83334,50.87873
48,-121.83039,50.87873
49,-121.74482,50.87577
50,-122.16975,50.87282
51,-121.83630,50.87282
52,-122.86617,50.86987
53,-121.83039,50.86987
54,-122.16975,50.86397
55,-121.85400,50.86397
56,-121.72711,50.86102
57,-122.89567,50.85807
58,-122.88977,50.85512
59,-122.80125,50.85512
60,-122.14614,50.85512
61,-121.69465,50.85512
62,-122.83666,50.85217
63,-122.85141,50.84922
64,-122.84846,50.84922
65,-121.88646,50.84331
66,-121.70941,50.84331
67,-121.69465,50.84331
68,-122.91338,50.84036
69,-122.82485,50.83446
70,-122.11073,50.83446
71,-121.89236,50.82561
72,-121.85695,50.82561
73,-121.86876,50.82266
74,-121.69465,50.82266
75,-122.08417,50.81971
76,-122.04876,50.81676
77,-121.69465,50.81676
78,-122.03401,50.81381
79,-122.80125,50.80200
80,-122.01925,50.80200
81,-121.69465,50.79610
82,-122.83075,50.79020
83,-121.97794,50.78725
84,-122.83666,50.78430
85,-122.85141,50.78135
86,-121.98974,50.78135
87,-121.97204,50.78135
88,-121.96909,50.78135
89,-122.81010,50.77249
90,-121.96614,50.77249
91,-121.69465,50.77249
92,-122.20221,50.76659
93,-121.92777,50.76659
94,-121.92482,50.76659
95,-121.91892,50.76659
96,-121.90712,50.76659
97,-121.90122,50.76659
98,-121.96023,50.76364
99,-121.95728,50.76364
100,-121.69465,50.76364
101,-121.93368,50.76069
102,-121.83334,50.76069
103,-122.76879,50.75774
104,-121.93958,50.75479
105,-121.93663,50.75479
106,-121.87761,50.75479
107,-121.69465,50.75479
108,-122.75993,50.75184
109,-121.89236,50.75184
110,-122.23762,50.74889
111,-121.84515,50.74889
112,-121.88941,50.74298
113,-121.85990,50.74298
114,-121.93663,50.74003
115,-121.88056,50.74003
116,-121.87171,50.73708
117,-121.86285,50.73708
118,-121.93073,50.73413
119,-122.23467,50.73118
120,-122.22582,50.73118
121,-122.24647,50.72823
122,-122.20221,50.72823
123,-122.26418,50.72528
124,-122.25238,50.72528
125,-121.91302,50.72233
126,-121.85400,50.72233
127,-122.15204,50.71643
128,-121.92482,50.71643
129,-121.90712,50.71643
130,-122.28484,50.71052
131,-122.27598,50.71052
132,-122.28779,50.70757
133,-121.83925,50.70757
134,-121.69465,50.70757
135,-122.30844,50.70462
136,-122.27303,50.70462
137,-121.92777,50.70462
138,-121.91007,50.70462
139,-121.83334,50.70462
140,-122.29959,50.70167
141,-121.91892,50.70167
142,-122.32025,50.69872
143,-121.91892,50.69872
144,-121.82154,50.69872
